district,population,nonexposed_population,nonexposed_population_share,district_english
怀柔区,441172.2168718544,337882.86718779476,0.7658752166751659,Huairou
延庆区,344425.65654751245,242292.86740013544,0.7034692764437306,Yanqing
密云区,527266.4965062648,364372.3543019801,0.6910591830058574,Miyun
平谷区,453683.0930437375,311064.93059103977,0.685643647207835,Pinggu
顺义区,1356974.2514955404,917286.0873109701,0.6759789924532585,Shunyi
房山区,1316416.9985773736,876553.3186152154,0.6658629595048451,Fangshan
昌平区,2208656.754866242,1306280.3567246194,0.5914365615420079,Changping
大兴区,1985203.2964555041,1165947.5753098743,0.5873189800720279,Daxing
通州区,1911510.201900065,1122438.0900531411,0.5871996335344817,Tongzhou
门头沟区,427076.53003262583,199942.92596768442,0.46816650391069276,Mentougou
海淀区,3249026.8690192625,1409351.3649299073,0.4337764573043768,Haidian
丰台区,2204506.63139987,721479.2329146862,0.3272746938649689,Fengtai
朝阳区,3241022.266105652,922605.8285980225,0.2846650694895124,Chaoyang
石景山区,562704.2362472415,144712.96403044462,0.2571741151187291,Shijingshan
东城区,795730.8256225586,196029.84661865234,0.24635195760486445,Dongcheng
西城区,1116274.043334961,264921.7244873047,0.23732678016576392,Xicheng
