sample,contrast_variable,quintile,cells,population,cell_matched_supply_rate,population_weighted_matched_supply_rate,mean_pet_healthcare_1km,pw_pet_healthcare_1km
2024_highest_household_pet_care_signal_quintile,human_medical,Q1_low,490,1404632.4443359375,0.0408163265306122,0.0433536470971217,0.0408163265306122,0.0433536470971217
2024_highest_household_pet_care_signal_quintile,human_medical,Q2,489,2013867.343017578,0.1656441717791411,0.1837915117174006,0.2024539877300613,0.2288030278564347
2024_highest_household_pet_care_signal_quintile,human_medical,Q3,489,2613676.607017815,0.4539877300613497,0.4651844595186679,0.8486707566462167,0.9115690956630887
2024_highest_household_pet_care_signal_quintile,human_medical,Q4,489,4240137.066577911,0.754601226993865,0.766488350005745,2.042944785276074,2.1191371246395567
2024_highest_household_pet_care_signal_quintile,human_medical,Q5_high,490,7378311.656763077,0.8979591836734694,0.8948439649227246,4.095918367346939,4.085834450640031
2024_highest_household_pet_care_signal_quintile,parking,Q1_low,490,1268710.6916790009,0.0897959183673469,0.0813875551157056,0.1183673469387755,0.1113186993766424
2024_highest_household_pet_care_signal_quintile,parking,Q2,489,1818087.698862076,0.2453987730061349,0.2800979472647747,0.3660531697341513,0.4222882930253075
2024_highest_household_pet_care_signal_quintile,parking,Q3,489,2664500.948150933,0.4601226993865031,0.4932617636742941,1.0020449897750512,1.0772094410126756
2024_highest_household_pet_care_signal_quintile,parking,Q4,489,4244076.847501755,0.6952965235173824,0.7288465058341764,2.233128834355828,2.395816846541471
2024_highest_household_pet_care_signal_quintile,parking,Q5_high,490,7655248.931518555,0.8224489795918367,0.846379506429791,3.512244897959184,3.669243028185126
2024_highest_household_pet_care_signal_quintile,serviceability_mean,Q1_low,490,1288885.1809444427,0.0510204081632653,0.0443108208318242,0.0612244897959183,0.0526183950328851
2024_highest_household_pet_care_signal_quintile,serviceability_mean,Q2,489,1883231.3497200008,0.1840490797546012,0.1761507714597328,0.2515337423312883,0.2250416664438204
2024_highest_household_pet_care_signal_quintile,serviceability_mean,Q3,489,2666238.304792702,0.4376278118609407,0.440295350273661,0.7995910020449898,0.797139932784524
2024_highest_household_pet_care_signal_quintile,serviceability_mean,Q4,489,4371060.512113571,0.7566462167689162,0.764777815106471,2.067484662576687,2.113176624648004
2024_highest_household_pet_care_signal_quintile,serviceability_mean,Q5_high,490,7441209.770141602,0.8836734693877552,0.8861000127098877,4.051020408163265,4.056114792015961
