year,service,points_or_grid_counts,population,pw_exposure_1km,share_pop_no_1km,gini_exposure_1km
2018,pet_healthcare,868.0,22071648.511851795,1.46534593203491,0.5072002493006731,0.6883462225146193
2018,human_medical,25651.0,22071648.511851795,40.58629705363846,0.0682386826757822,0.558200825358727
2018,childcare_core,5094.0,22071648.511851795,7.284283480150992,0.1723681113962731,0.5285330017399446
2018,child_oriented,32890.0,22071648.511851795,55.17333455259998,0.0769552488078646,0.5852516072471727
2018,school_baseline,2978.0,22071648.511851795,4.425876845327927,0.255890881387947,0.6057394253815449
2019,pet_healthcare,822.0,22152555.74671989,1.3900157579456154,0.5093261969245318,0.6829122796303131
2019,human_medical,22324.0,22152555.74671989,36.079645042794304,0.0816655527742091,0.5677214801603296
2019,childcare_core,3904.0,22152555.74671989,5.38613232708001,0.1904277963186845,0.5155988082165576
2019,child_oriented,22378.0,22152555.74671989,36.34941768592033,0.0866022981419009,0.5761248778563267
2019,school_baseline,2602.0,22152555.74671989,3.774984390192035,0.2685252451859409,0.6032420162592007
2020,pet_healthcare,1029.0,22212255.839361835,1.6964282383032432,0.4847253869364905,0.6791700199150934
2020,human_medical,26460.0,22212255.839361835,40.976611582849046,0.0639225759219313,0.551820414878844
2020,childcare_core,4304.0,22212255.839361835,6.029724553658341,0.1782880101021496,0.5110619868926696
2020,child_oriented,29398.0,22212255.839361835,48.66140560904684,0.0766791823837581,0.5853496633947113
2020,school_baseline,2729.0,22212255.839361835,3.952944634294613,0.2616699566367579,0.5992500010354748
2021,pet_healthcare,1075.0,22233138.753551397,1.7996677085608497,0.4765393817537336,0.679253828462496
2021,human_medical,30511.0,22233138.753551397,46.06563589863149,0.0660484941381901,0.5569205330979867
2021,childcare_core,4296.0,22233138.753551397,5.966161402359178,0.1904089311271528,0.522752305582207
2021,child_oriented,29124.0,22233138.753551397,47.22419807644413,0.0833626146718417,0.5921541729449555
2021,school_baseline,2735.0,22233138.753551397,3.9329395028974328,0.2691444742118659,0.6057727356296123
2022,pet_healthcare,1071.0,22222559.89617257,1.7809222968443297,0.4790910968758804,0.6796603355463826
2022,human_medical,29001.0,22222559.89617257,45.12110675351021,0.0726188584241756,0.5703039656494366
2022,childcare_core,4318.0,22222559.89617257,5.98083837997596,0.1845481562223828,0.5222119598567442
2022,child_oriented,27219.0,22222559.89617257,44.24233505557724,0.0834680185861861,0.5905151595821423
2022,school_baseline,2874.0,22222559.89617257,4.248096388230045,0.2637956990234827,0.6094842625227517
2023,pet_healthcare,1102.0,22193915.532054044,1.8171337793127684,0.4748802073576661,0.6793297087213989
2023,human_medical,25310.0,22193915.532054044,39.786177079898046,0.0717481954797656,0.5553235236685874
2023,childcare_core,3878.0,22193915.532054044,5.346305088534194,0.1778856754304723,0.5057907832745212
2023,child_oriented,21116.0,22193915.532054044,34.27888192422889,0.0834942455475103,0.5723881392763843
2023,school_baseline,2449.0,22193915.532054044,3.568204665177418,0.2670905042872337,0.5992801734746336
2024,pet_healthcare,1160.0,22141663.404492863,1.9069953309063865,0.4743625255082156,0.6813396607650017
2024,human_medical,28928.0,22141663.404492863,46.65977238483166,0.0700556454058315,0.564278717661753
2024,childcare_core,4003.0,22141663.404492863,5.501866237829337,0.1771512667925588,0.5071893203801714
2024,child_oriented,23077.0,22141663.404492863,37.56520672925354,0.0798986711547779,0.5760536583028202
2024,school_baseline,2640.0,22141663.404492863,3.887917940223261,0.2622517033072394,0.6008934015121689
