service,term,coef,se,t,p,n_positive,r2,aic,significance
pet_medical,W_log_price,-0.7522619772265531,0.2992637972050052,-2.5137085883837456,0.0119469105655091,112,0.532802795162092,45.6748459564007,- p<0.05
pet_medical,W_pct_15_59,5.608085417031341,1.9413239114319916,2.8887942831212605,0.0038672197974395,112,0.532802795162092,45.6748459564007,+ p<0.01
pet_medical,W_pct_uni,3.8412447204670817,1.306549035198114,2.939992772551876,0.0032821990272284,112,0.532802795162092,45.6748459564007,+ p<0.01
pet_all_care,W_log_price,-0.902985160861193,0.3986356206272615,-2.2651893462012422,0.0235010626404194,129,0.5362619990460449,149.60126248382235,- p<0.05
pet_all_care,W_pct_15_59,6.43650659594637,3.3161338904424538,1.9409670443335392,0.0522622748482002,129,0.5362619990460449,149.60126248382235,+ p<0.10
pet_all_care,W_pct_uni,4.23607423648346,1.5818449387308913,2.6779326675862727,0.0074078108242659,129,0.5362619990460449,149.60126248382235,+ p<0.01
human_medical,W_log_price,0.5045287618936638,0.3483775791466224,1.4482239733381974,0.1475544220256933,131,0.8387305793744437,138.86891684353145,+ n.s.
human_medical,W_pct_15_59,1.079045299308803,2.714103352798272,0.3975697160523733,0.6909473873613953,131,0.8387305793744437,138.86891684353145,+ n.s.
human_medical,W_pct_uni,2.5068993453133914,1.916578537331031,1.308007627386052,0.1908707222392868,131,0.8387305793744437,138.86891684353145,+ n.s.
shopping,W_log_price,0.2809027262713723,0.4609352639714689,0.6094190404333216,0.5422467204182306,131,0.7263872746673898,211.09178273926523,+ n.s.
shopping,W_pct_15_59,1.081519471822709,3.65348167909635,0.2960243315330409,0.7672114998265313,131,0.7263872746673898,211.09178273926523,+ n.s.
shopping,W_pct_uni,0.1307911957028826,2.394680531182384,0.0546173879980157,0.956443285816047,131,0.7263872746673898,211.09178273926523,+ n.s.
life_service,W_log_price,0.1220324398455985,0.3046818212551701,0.4005241905896207,0.6887704697869158,131,0.8591381853894413,132.74801215607755,+ n.s.
life_service,W_pct_15_59,1.6873517058809917,2.76799023266546,0.6095945303449072,0.5421304357823393,131,0.8591381853894413,132.74801215607755,+ n.s.
life_service,W_pct_uni,1.968438175823056,1.6528261174758747,1.1909529714046208,0.2336720475713877,131,0.8591381853894413,132.74801215607755,+ n.s.
parking,W_log_price,0.3217106498335391,0.3205292446642106,1.0036857952558,0.3155300859517901,131,0.8764986018073013,135.3696625245791,+ n.s.
parking,W_pct_15_59,-1.2602107679960532,3.893598937355595,-0.3236621922986108,0.7461937974667208,131,0.8764986018073013,135.3696625245791,- n.s.
parking,W_pct_uni,5.294037148831313,1.6337151487411616,3.240489722403912,0.0011932457362145,131,0.8764986018073013,135.3696625245791,+ p<0.01
