year,subway_band,population,pw_pet_medical_within_1000m,pw_type_advanced_or_chain_within_1000m,pw_type_community_or_clinic_within_1000m,pw_type_general_within_1000m
2018,0-300m,3990988.562057495,2.723490578626308,1.0310293281361766,0.097179187034762,1.5952820634553695
2018,300-800m,6474444.787448883,2.310090983993008,0.8049889018197097,0.1518132876704522,1.353288794502846
2018,800-1500m,3595584.835697174,1.144965820726927,0.2788336366626455,0.0577836449230207,0.8083485391412608
2018,1500-3000m,2814531.4919920564,0.4527968610967812,0.059537274090495,0.061800402529898,0.3314591844763881
2018,>3000m,5196098.834656188,0.2165838931307354,0.0314453291160201,0.0110942470971409,0.1740443169175743
2019,0-300m,4202102.245025635,2.503083534124776,1.027402448323153,0.0883219973221184,1.3873590884795048
2019,300-800m,6415889.621517181,2.1625765078314645,0.7928943511525566,0.1188620347380639,1.250820121940844
2019,800-1500m,3538944.63134861,1.1293324928178,0.3397913209747879,0.0762485862344543,0.7132925856085576
2019,1500-3000m,2810334.2657679915,0.4403767069235619,0.0618210541841283,0.049748374684543,0.3288072780548904
2019,>3000m,5185284.983060469,0.2246907447077373,0.0312052108340938,0.0177614659829868,0.1757240678906566
2020,0-300m,4390584.14125061,3.119765101987493,1.27646172052172,0.1303288764600087,1.712974505005764
2020,300-800m,6458321.078418732,2.511403717746586,0.95498051980821,0.1110393464212005,1.4453838515171753
2020,800-1500m,3454642.7577734,1.3359332392030645,0.3841781762593865,0.084965788948295,0.8667892739953831
2020,1500-3000m,2805104.2068072185,0.6388722372754402,0.1351342443894832,0.0453064329145256,0.4584315599714313
2020,>3000m,5103603.655111874,0.2659258233972614,0.0396926196867645,0.0208755879765707,0.2053576157339261
2021,0-300m,4529614.807228088,3.187300888657444,1.265238403313674,0.1121399370268138,1.8099225483169563
2021,300-800m,6419564.573044777,2.8231495415950945,1.1155827350418106,0.1321548305258812,1.5754119760274026
2021,800-1500m,3334549.6178474426,1.277116888920352,0.3029162857729596,0.0859110356648247,0.8882895674825674
2021,1500-3000m,2705521.128590048,0.6362064117215674,0.1168444468055233,0.0280554383537007,0.4913065265623433
2021,>3000m,5243888.6268410375,0.2806593302244383,0.0524574244829872,0.0200012148432048,0.2082006908982461
2022,0-300m,4844078.397598267,3.1837615417902767,1.2969705487995835,0.1135331032380263,1.7732578897526667
2022,300-800m,6323865.060798645,2.674270333508155,1.0521635973573351,0.1353124881460695,1.48679424800475
2022,800-1500m,3329747.858215332,1.2272022637944429,0.3289261959737664,0.0882605224105291,0.8100155454101472
2022,1500-3000m,2758722.004162751,0.6973792891409166,0.1721842748135601,0.0366993700000707,0.4884956443272857
2022,>3000m,4966146.5753975725,0.2481576934514273,0.0482049590684613,0.0158379369328758,0.18411479745009
2023,0-300m,5015880.540130615,3.3513549557448354,1.353194031061419,0.1534788202949315,1.844682104388485
2023,300-800m,6122763.43157196,2.6690644275706163,1.0120866921647076,0.1331293191306572,1.5238484162752512
2023,800-1500m,3300339.3837223053,1.2522609955622517,0.3131708481596141,0.0844747149562206,0.8546154324464167
2023,1500-3000m,2777219.4797618464,0.6315373014783187,0.1296604558657259,0.0489731404920091,0.4529037051205835
2023,>3000m,4977712.696867317,0.2592482792100292,0.0532607010845936,0.0177811809657041,0.1882063971597312
2024,0-300m,5940133.672515869,3.526503074737115,1.5119315926700911,0.1509169969050735,1.8636544851619503
2024,300-800m,5753804.537255287,2.5412249415553494,1.007028473537113,0.1226112257817872,1.4115852422364492
2024,800-1500m,3179567.72012043,1.2368020594559688,0.3485523151791546,0.0705240803831804,0.8177256638936338
2024,1500-3000m,2756370.4273139145,0.5976798719052648,0.1076145715138913,0.0456220748951639,0.4444432254962096
2024,>3000m,4511787.047287363,0.2381571718429104,0.0540156763425087,0.0174892141715815,0.1666522813288202
